sessionDate, symbol, marketCap, close, PREV, CURRENT, volToPRev, volToAvg10, gainPct
2023-12-31,SPIC,SMALLCAP,77.25,GREEN,GREEN,3,1,9.44983818770226
2023-12-31,VSTIND,MIDCAP,309.7,GREEN,GREEN,3,1,8.637391023571197
2023-12-31,MOIL,MIDCAP,309.0,GREEN,GREEN,0,2,12.297734627831716
2023-12-31,3IINFOLTD,SMALLCAP,48.95,GREEN,GREEN,0,2,25.7405515832482
2023-12-31,GUJALKALI,MIDCAP,776.75,RED,GREEN,2,1,1.950434502735755
2023-12-31,TIRUMALCHM,SMALLCAP,219.55,GREEN,GREEN,2,1,10.544295149168743
2023-12-31,PDMJEPAPER,MICROCAP,51.9,GREEN,GREEN,2,1,54.23892100192678
2023-12-31,INDIAGLYCO,SMALLCAP,767.95,GREEN,GREEN,2,1,-40.871150465525105
2023-12-31,BRIGADE,LARGECAP,896.75,GREEN,GREEN,1,2,14.329523278505715
2023-12-31,SUPRAJIT,MIDCAP,406.55,GREEN,GREEN,2,2,-3.4682080924855545
2023-12-31,MUNJALAU,SMALLCAP,87.1,GREEN,GREEN,0,2,20.3788748564868
2023-12-31,GTPL,SMALLCAP,191.1,GREEN,GREEN,2,2,2.0931449502878072
2023-12-31,ADSL,SMALLCAP,137.15,GREEN,GREEN,2,1,32.81079110462996
2023-12-31,DCW,SMALLCAP,56.9,RED,GREEN,2,1,21.265377855887525
2023-12-31,JUSTDIAL,MIDCAP,802.2,RED,GREEN,2,0,3.2286212914485137
2023-12-31,ANDHRAPAP,SMALLCAP,121.97,GREEN,GREEN,2,1,1.8447159137492828
2023-12-31,SRF,LARGECAP,2479.25,GREEN,GREEN,2,1,-6.21760613088636
2023-12-31,JKPAPER,MIDCAP,406.8,RED,GREEN,3,1,7.460668633234996
2023-12-31,GRINDWELL,LARGECAP,2329.1,RED,GREEN,4,2,1.693787299815391
2023-12-31,INDOCO,SMALLCAP,395.2,GREEN,GREEN,2,1,-5.79453441295546
2023-12-31,GRAPHITE,MIDCAP,550.2,GREEN,GREEN,2,1,-0.9814612868048147
2024-01-31,GNA,SMALLCAP,488.1,GREEN,GREEN,2,1,-12.743290309362845
2024-01-31,BBL,SMALLCAP,2632.95,GREEN,GREEN,1,2,8.36818017812721
2024-01-31,SPIC,SMALLCAP,84.55,GREEN,GREEN,1,2,4.9674748669426405
2024-01-31,GEOJITFSL,SMALLCAP,85.7,GREEN,GREEN,0,2,-12.835472578763127
2024-01-31,TEXINFRA,SMALLCAP,117.0,GREEN,GREEN,1,2,-1.4529914529914554
2024-01-31,ICICIGI,LARGECAP,1497.1,RED,GREEN,2,1,14.33771959120968
2024-01-31,RGL,SMALLCAP,114.15,GREEN,GREEN,2,2,16.119141480508105
2024-01-31,SSWL,SMALLCAP,279.8,RED,GREEN,2,1,-9.989278055754115
2024-01-31,FSL,MIDCAP,204.6,GREEN,GREEN,2,1,0.5376344086021478
2024-01-31,JAMNAAUTO,SMALLCAP,118.5,RED,GREEN,2,1,1.181434599156123
2024-01-31,SHOPERSTOP,MIDCAP,754.1,GREEN,GREEN,2,2,-1.6576050921628431
2024-01-31,CASTROLIND,MIDCAP,196.7,GREEN,GREEN,0,3,5.948144382308093
2024-01-31,PDSL,MIDCAP,606.3,RED,GREEN,3,1,-15.56160316674913
2024-01-31,VTL,MIDCAP,427.8,RED,GREEN,2,1,0.21037868162692314
2024-01-31,RELIGARE,MIDCAP,236.75,RED,GREEN,4,2,0.0
2024-01-31,GREAVESCOT,SMALLCAP,163.7,GREEN,GREEN,1,2,-7.605375687232736
2024-01-31,BIRLACORPN,MIDCAP,1532.85,GREEN,GREEN,2,1,7.0978895521414485
2024-01-31,IRCTC,LARGECAP,977.2,GREEN,GREEN,0,2,-5.096193205075733
2024-02-28,GNA,SMALLCAP,488.1,GREEN,GREEN,2,1,-22.04466297889777
2024-02-28,BBL,SMALLCAP,2632.95,GREEN,GREEN,1,2,21.84355950549764
2024-02-28,SPIC,SMALLCAP,84.55,GREEN,GREEN,1,2,-16.853932584269664
2024-02-28,GEOJITFSL,SMALLCAP,85.7,GREEN,GREEN,0,2,-25.087514585764293
2024-02-28,TEXINFRA,SMALLCAP,117.0,GREEN,GREEN,1,2,-18.888888888888882
2024-02-28,ICICIGI,LARGECAP,1497.1,RED,GREEN,2,1,12.517533898871157
2024-02-28,RGL,SMALLCAP,114.15,GREEN,GREEN,2,2,-12.527376259307937
2024-02-28,SSWL,SMALLCAP,279.8,RED,GREEN,2,1,-21.050750536097212
2024-02-28,FSL,MIDCAP,204.6,GREEN,GREEN,2,1,-3.3968719452590364
2024-02-28,JAMNAAUTO,SMALLCAP,118.5,RED,GREEN,2,1,11.60337552742616
2024-02-28,SHOPERSTOP,MIDCAP,754.1,GREEN,GREEN,2,2,0.11934756663572169
2024-02-28,CASTROLIND,MIDCAP,196.7,GREEN,GREEN,0,3,-5.465175394001017
2024-02-28,PDSL,MIDCAP,606.3,RED,GREEN,3,1,-21.919841662543295
2024-02-28,VTL,MIDCAP,427.8,RED,GREEN,2,1,3.3894343151005137
2024-02-28,RELIGARE,MIDCAP,236.75,RED,GREEN,4,2,-11.615628299894404
2024-02-28,GREAVESCOT,SMALLCAP,163.7,GREEN,GREEN,1,2,-22.663408674404398
2024-02-28,BIRLACORPN,MIDCAP,1532.85,GREEN,GREEN,2,1,-7.120722836546293
2024-02-28,IRCTC,LARGECAP,977.2,GREEN,GREEN,0,2,-4.860826852230864
2024-03-31,JAMNAAUTO,MIDCAP,132.25,GREEN,GREEN,1,3,5.406427221172027
2024-03-31,CHALET,MIDCAP,883.3,GREEN,GREEN,2,2,-2.0830974753764266
2024-04-30,IPCALAB,LARGECAP,1339.5,GREEN,GREEN,2,1,-13.986562150055985
2024-04-30,GESHIP,MIDCAP,1090.05,RED,GREEN,2,1,-1.169671116003853
2024-05-31,GANECOS,SMALLCAP,1157.7,GREEN,GREEN,2,1,20.985574846678762
2024-05-31,ERIS,MIDCAP,916.1,GREEN,GREEN,2,1,11.718153040061132
2024-05-31,JBMA,LARGECAP,1045.78,GREEN,GREEN,2,1,-1.9248790376560923
2024-05-31,PFC,MEGACAP,492.45,GREEN,GREEN,2,1,-1.4925373134328288
2024-05-31,NHPC,MEGACAP,107.25,GREEN,GREEN,2,2,-6.107226107226104
